OutRecID,FirstName,MiddleName,LastName,StreetNumber,StreetName,StreetSuffix,UnitType,UnitNumber,City,State,ZIP,MailType,MailAddr1,MailAddr2,MailCity,MailState,MailZIP,SSN,DOB
A104077,Karina,,Hernandz,12408,SUMMERS,ST.,APT,b,Waterford,CA,95386,,,,,,,056-89-6080,54-08
A104507,KARINA,,HERNANDEZ,124.08,SUMMERS,ST,,,WATERFORD,CA,95386-,,,,,,,56896080,
A106263,Alberto,,hernandez,12408,Summers St,,Apt.,B,Water ford,CA,95386 ,,,,,,,056-89-6407,19580122
A101613,A.Hernandez,,,124O8,SUMMERS,ST,APT,B,WATERFORD ,CA,9538G,,,,,,,,1980-01-22
A103768,M Lewis,,Qgley,12408,SUMMERS,ST,,,waterford,ca,95386,,,,,,,075976448,
A106984,JO,Daniel,Polanco ,8240,Crowder,ln,,,roseville,ca,95747,POB,4262,852,Roseville,CA,95661,075-96-4489,1962-12-12
A100413,J. POLANCO,,,08420,CRO WDER LN,,,,ROSEVILLE,CA,95747,P.O. BOX,4262,,ROSEVI LLE,CA,95661,075964489,
A103979,joe,,Polanco,824o,Crowder,Ln.,,,RO SEVILLE,CA,95747,POBOX,4262,852,Roseville,CA,9566,,1962
A104337,Jo,Danl.,POLANCO,1078,Sparow,Ln,,,Fair Field,CA,94533,,,,,,,075 96 4489,19621212
A102651,JO,,POLANCO,1078,SPARROW LANE,,,,fairfield,CA,94533,,,,,,,075964489,
A101764,J POLANCO,,,107-8,SPARROW,LN,,,faIrfield,ca,94533,,,,,,,,1962-12-12
A103244,JOE,,POLANCO,1078,SPARRoW,LN,,,FAIRFIELD,CA,94533-,,,,,,,075-96-4489,62/12
A101198,J. POLANCO,,,1078 ,SPARROW LN,,,,fairfield,CA,9453S,,,,,,,075-964-489,1962
A103382,Jim,Marie,Lewis,1078,SPARROW,LN,,,farfield,CA,94533,,,,,,,,1962-12-12
A103191,JO.,daniel,Polanco,3450,Phoebe,ct.,,,west covina,CA,91792,,,,,,,075964489,19621212
A104988,J POLANCO,,,3450,PHOEBE CT,,,,"west,covina",CA,91729,,,,,,,,62/12/12
A103952,Joe,,Polanco,03450,phoebe,Ct,,,WEST   COVINA,CA,91792,,,,,,,075-96-4489,
A105410,ALBERTO.,,HERNÁNDEZ,5722,Monaco,DR,,,palmdale,ca,93552,,,,,,,075-97-7448,19720607
A100326,alberto,,hernandez,5 7 2 2,MONACO DR,,,,PALMDALE,CA,93552-,,,,,,,,1972-06-07
A103775,A.Hernandez,,,5722,monnaco,dr.,,,Palmdale,CA,93552,,,,,,,075-97-7448,
A100319,Alberto,,HERNANDEZ,2932,GLENEDEN ST,,,,"los,angeles",CA,90039,,,,,,,075-97-7448,72-06-07
A101207,A. Hernandez,,,2932,Gleneden,St.,,,LOS ANGELES,CA,9003E,,,,,,,,19720607
A107243,Alberto,,hernadez,02932,Glen eden,ST,,,los angeles,ca,90039,,,,,,,075 97 7448,
A106465,M R Valle,,,719,ardMORE,AVE,,,Los Angeles,CA,90029,,,,,,,075977448,1972-06-07
A107257,ALBERT,,HERNANDEZ,719,ARDM0RE,AV,,,LOS ANGELES,CA,90029,,,,,,,075-97-7448,
A103572,A. H.,,HERNANDEZ, 719 ,ARDmore,Ave,,," LOS,Angeles",CA,90029,,,,,,,075-97-7448,72-06-07
A100850,ALBERTO,,HERNANDEZ,719,ARDMORE,,,,Los Angeles,CA,9002q,,,,,,,075977448,19720607
A104151,Jo,Danl,HERNANDEZ,11604,ATLANTIC,AVE,,,Lynwood,CA,90262,,,,,,,075-96-4489,19621212
A104384,J. D.,,Hernndez , 11604,ATLANTC,AVE,,, LYNWOOD,CA,90262,,,,,,,075964489,
A103463,JODY,,HERNANDEZ,11604,ATLANTIC,AV,,,lyNWOOD,CA,90262,,,,,,,075-96-4489,1962-12-12
A100900,JO DANIEL,,HERNANDEZ,11604,ATLANTIC,AVE,,,LYNWOOD,CA,90262-,,,,,,,,196212
A103222,alberto,,hernandez,11604,ATLA N TIC,AVE,,,LYNWOOD,CA,90262,,,,,,,075-97-7448,1972-06-07
A100426,A. Hernandez,,HERNANDEZ,11604,ATLANTIC,AVE,,,lyNwood,CA,9026z,,,,,,,,19720607
A105517,ALB3RTO,,HERNANDEZ,11604 ,ATLANTIC,AV.,,,LYNWOOD,CA,90262,,,,,,,075-97-7448,
A102926,AMIE,,LITTLE,1684,PERWINKLE,RD,,,Ore City,TX,75683,,,,,,,022-21-6418,1911-11-04
A102736,A Little,,LITTLE,1684,PERIWINKLE,RD.,,,ORE CITY,TX,75683,,,,,,,,19111104
A105727,AMY,, litle , 1684,PERIWINKLE,,,,ORECITY,TX,75683,,,,,,,022216418,1911/11/04
A105507,J. CHEMAGNE,,CHAVEZ,1684,PERIWINKL3,RD,,,ORE CITY,TX,7568t,,,,,,,022-21-6418,
A104214,AMY,,LITTEL,2637,BIG SPRING,DR,,,Ft Worth,TX,76120,,,,,,,022-21-6418,19111104
A100862,Maria ,,REED,2637,BIGSPRING,DR,,,FORT WORTH,TX,7612O,,,,,,,022216418,
A104382,A. Little,,LITTLE,2637,BIG SPRING,DR.,,,FORT WORTH,TX,76120,,,,,,,,1911-11-04
A103621,AMY LYTTLE,,LITTLE,2637,BIG SPRING,,,,"FORT,WORTH",TX,76120,,,,,,,022-21-6418,191111
A106754,AMIE,,LITTLE ,2637,BG SPRING,DR,,,FORT WORTH,TX,76120,,,,,,,002-21-6418,19111104
A106859,A.,,LITTLE,2637,BIG SPRING,DR,,,FORT WORTH,TX,76120 ,,,,,,,,
A102508,AMY,,LITTLE,1602,ALCAZAR,PLZ,,,Dallas,TX,75211,,,,,,,022-21-6418,1911-11-04
A102348,A. LITTLE,,LITTLE,1602,ALCAZAR,PLZ.,,,DALLAS,TX,7521I,,,,,,,,19111104
A105529,Ami,,LITTLE,1602 ,ALCAZAR,PLZ,,,DALLAS,TX,75211,,,,,,,022-21-6418,
A102846,AMY,,LITTL3,1602,ALCZAR,PLZ,,,DALLAS,TX,75211,,,,,,,022216418,19111104
A101932,Chris,,EVANS ,9421,BLUEBIRD,DR,,,Tampa,FL,33647,P O BOX, 1885 ,76972, TAmPA,FL,33675,022-22-6441,
A101425,CHRISTOPHER,,EVANS,9421 ,BLUBIRD,DR.,,,TAMPA,FL,33647,PO BOX,1885,76972,TAMPA,FL,3367x,022226441,1921-05-06
A102859,C. Evans,,EVANS,9421,BLUEBIRD,DR,,,TAMPA,FL,33647,POBX,1885,76972,TAMPA,FL,33675,,19210506
A101614,CHRISTOPHER,,EVEN,9421,BLUEBIRD,DR,,,TAMPA,FL,33647,PO BOX,1885,76972,TAPA,FL,33675,022-22-6411,19210506
A102214,C.,,EVANS,9421,BLUEBIRD,,,,TAMPA,FL,33647,P O BOX,1885,76972,TAMPA,FL,,022-22-6441,192105
A100690,CHRISTOPHER,,EVANS,9421,BLUBIRD,DR,,,Tam pa,FL,33647,PO BOX,1885 ,76972,TAMPA,FL,33675,,19210506
A101945,CHRISTOPHER,,EVANS,3287,AMBERLY PARK,CIR,,,Kissimee,FL,34743,PO Box,2938,421136,KISSIMMEE,FL,34742,022-22-6441,1921-05-06
A104188,C. Evans,,EVANS,3287,AMBERLEY PARK,CR,,,KISSIMMEE,FL,34743,,,,,,,,19210506
A103644,Chris,,EVANS,3287,AMBERLY PARK,CIR,,,KISSIMMEE,FL,34743 ,P0 BOX,2938,421136 ,KISSIMMEE,FL,34742,022226441,
A105004,ROBERT,,SANCHEZ,3287,AMBERLEY PARK,CIR,,,KISSIMMEE,FL,34743,po box,2938 ,421136,kissimmee,FL,34742,,
A104737,CHRISTOPHER,,EVANS,3287,AMBERLEY PARK,CIR,,,KISSIMEE,FL,34743,PO BOX,2938,421136,KISSIMEEE,FL,34742,022-22-6441,19210506
A103405,AMY,,EVANS,30343,STAPLETON,ST,,,Wesley Chapel,FL,33545,,,,,,,022-21-6418,1911-11-04
A102929,A. EVANS,,EVANS,30343,STAPLETON,ST,,,WESLEY CHAPEL,FL,3354S,,,,,,,,19111104
A104926,AMALIA,KAREN,SMALLEY,30343,STAPLETON,ST,,,"WESLEY,CHAPEL",FL,33545,,,,,,,022216418,
A103258,CHRISTOPHER,,EVANS,30343,STAPLETON,ST.,,,WESLEY CHAPEL,FL,33545,,,,,,,022-22-6441,1921-05-06
A107143,CHRIS,,EVANS,30343,STAPLETON,ST,,,WESLEYCHAPEL,FL,33545,,,,,,,022226441,
A101707,C. EVANS,,EVANS,30343,STAPLETON,ST,,,WESLEYCHAPEL,FL,33545,,,,,,,,19210506
A105850,CHRISTOPHER,,EVEN,30343,STAPLTON,ST,,,WESLEY CHAPEL,FL,3354S,,,,,,,022-22-6441,19210506
A106990,AMY,,DOLIMONT,501,MAIN,,,,Bardwell,TX,75107,,,,,,,096-71-4883,19330304
A105717,AMY,,DOLlMONT,501,MAIN,,,,BARDWELL,TX,751o7,,,,,,,,1933-03-04
A103089,A Dolimont,,DOLIMONT,501 ,MAIN,,,,BARDWELL,TX,75107,,,,,,,096714883,
A103962,AMY ,,DOLIMONT,501,MA1N,,,,BARD WELL,TX,75107,,,,,,,096-71-4883,193303
A104767,AMIE,,DOLIMONT ,501,MAIN,,,,BARDWELL,TX,75107,,,,,,,096-71-4883,1933/03/04
A101563,A.,,DOLIMONT,501,MAIN,,,,BARDWELL,TX,75107,,,,,,,,
A104098,AMY,,DOLLMONT,1103,15TH,ST,,,MCALLEN,TX,78501,PO BOX,10837 ,52840,MCALLEN,TX,78505,096-71-4883,1933-03-04
A104083,AMIE,,DOLIMONT,1103,15TH,ST,,,McAllen,TX,78501,PO BX,10837,52840,MCALLEN,TX,78505,,19330304
A103081,A. DOLIMONT,,DOLIMONT,1103,15TH,ST.,,,MCALLEN,TX,78501,PO BOX,10837,52840,MCALLEN,TX,78505,096-71-4883,
A102676,AMY,,DOLIMONT,1103,15TH ,ST,,,MCALLEN,TX,785O1,PO BOX, 10837 ,52840,MCALLEN,TX,78505,096-71-4883,1933/03/04
A103190,SUSAN,ANN,VASQUEZ,1103,15TH,ST,,,MCALLEN,TX,78501,,,,,,,,
A106555,Amy,,Dolimont,12150,St Lucia,,,,el paso,TX,79936,,,,,,,096714883,1933-03-04
A100540,AMIE,,D0LIMONT,12150,saintlucia,,,,ElPaso,TX,79936-,,,,,,,096-71-4883,
A103524,A.,,Dolimont,12150,SAINT LUCIA,,,,EL PASO,Tx,79936,,,,,,,,19330304
A103095,AMY,,DOLIMONT,12150,SAINT-LUCIA,,,,El_Paso,TX,79936,,,,,,,096-71-8843,19330304
A102553,A M Y,,Dolimont,12150,Saint Lucia,,,,EL PASO,tx,7936,,,,,,,096-71-4883,1933
A103155,fady,ALAN,evans,7509,BERGEN,wy,,,"RIO,LINDA",CA,95673,,,,,,,096-71-8059,1936-03-22
A100474,F.A.,,EVENS,07509,bergem,WAY,,,riollnda,CA,95673A,,,,,,,096718059,
A107183,FADY,A.,EVANS,7509,BERGEN,W,,,rio linda,ca,95673,,,,,,,096-71-8590,36-03-22
A101415,Fay,,Evans,7509,Bergen Wy,,,,RIO LINDA,CA,95763,,,,,,,096-71-8059,19360322
A107169,FADY,A.,EVENS,33472,WASHINTON,DR,,,yucaipa,CA,92399,,,,,,,096718059,1936/03/22
A102850,FADY,ALAN,EVANS,33472,WASHINGTON DRIVE,,,,YUCAIPA,Ca,92399,,,,,,,,22-03-1936
A100639,David,,Ramrez,33472,Washon,Dr,,,Yucaipa,CA,9239,,,,,,,096-71-8059,
A105260,M Q,,Quiggly,33472,WASHTON,DR,,,yu caipa,CA,92399,,,,,,,096-71-8059,19360322
A103804,Amie,,Evans,30327,Twain Dr,,,,Menifee,CA,92584,,,,,,,096714883,1933-03-04
A106678,a.m.y.,,EVA NS,30327,TWAIN,Dr,,,menifee,ca,92584,,,,,,,096-71-4883,
A103833,Amy,,Evans,30327,TWA1N,DR,,,MENIFEE,CA,9254,,,,,,,096714883,19330304
A106176,AMY,,EVANS,30 327,Twain,DR,,,MENIFEE,CA,92584,,,,,,,,
A105997,AMY,,EVANS,30327,TWWAIN,,,,MENEFE,CA,92584,,,,,,,096-71-4883,1933
A105554,Fady,ALAN,EVANS,30327,Twain Dr,,,,menifee,CA,92584,,,,,,,096-71-8059,19360322
A103976,Fadey,ALAN,EVENS,30327,TWAIN,RD,,,MENIFEE,CA,92584,,,,,,,096-71-8059,
A101752,F.A.,,Evans,30327,TWAIN,Dr,,,MENIFEE,CA,92584,,,,,,,,1936-03-22
A101916,Kenneth L.,,Newton,2736,KING,RD,,,SanJose,CA,95122,,,,,,,096-71-4883,19330304
A102254,A M Y,,evans,2736,King RD,,,,SAN JOSE,Ca,9512,,,,,,,096-71-4883,33-03-04
A107184,amy,,evans,02736,KIN6,RD,,,San jose,CA,95122,,,,,,,,19330304
A100345,fady,alan,evans,2736,king,rd,,,san jose,ca,95122,,,,,,,096-71-8059,19360322
A104532,FADY,ALAN,EVNS,2736,KING,RD,,,SANJOSE,CA,95122,,,,,,,0967178059,
A104949,F. A.,,Evans,2736,King Rd,,,,San Jose,Ca,95122B,,,,,,,096-71-8059,1936/03/22
A103090,Faddy,ALAN,Evans,2736,KING,RD,,,SAn jose,CA,95122,,,,,,,,19360322
A104202,F. ALAN,,EVENS,2736,KINGRD,,,,San Jose,CA,95122,,,,,,,096-71-8059,
A100532,Fadey,,Evans,2736,KIN6,RD,,,San Jose,Ca,9512,,,,,,,096-71-8059,19360322
A103630,A.M.Y,,evans,1503,DEL MONTE AVENUE,,,,Salinas,CA,93905,,,,,,,096-71-4883,19330304
A100036,AMY,,EVANS,15O3,DEL MONTE,AVE,,,salinas,ca,93905,,,,,,,096714883,1933
A106837,Amy,,Evans,1503,DEL.MONT,,,,SALINAS,CA,939O5,,,,,,,,
A100184,FADY,ALAN,EVANS,1503,DEL MONTE,AV,,,Salinas,CA,93905,,,,,,,096718059,1936-03-22
A101318,Fady,,Evans,1503,DEL MONTE ave,,,,salinas,ca,93095,,,,,,,096-71-8059,19360322
A105415,Crystal,,hernandez,1503,DelMonte,Ave,,,SALINAS,CA,93905,,,,,,,096-71-8059,
A106119,FADY,ALAN,EVENS,01503,DEL MONTE,AVE,,,Salinas,CA,93905,,,,,,,,36/03/22
A102015,FADY,,EVANS,1503,DEL MONTE,AVE,,,SALINAS,CA,939O5,,,,,,,096-71-8059,19360322
A107179,Angela,,Barner,1205,Kathy,Ln,,,Santa ana,CA,92704,POBox,36516,10014,Santa Ana,ca,92711,041081001,19450711
A101699,A. BARNER,,BARNER,1205,KATHY LN.,,,,SANTA ANA,CA,92704,P O BOX,36516,10014,SANTA ANA,CA,9271,,1945-07-11
A107004,ANGELA,,BARNER,1205,KATHY,LN,,,SantaAna,CA,927O4,PO BOX,36516,10014,SANTA ANA,CA,92711,041-08-1001,
A101119,Angela,,Barner,01205,KATHY,LANE,APT,1,SANTA ANA,CA,92704,"Po,Box",36516,10014,Santa Ana,CA,92711,041-08-1001,19450711
A101731,ANGIE,,BARNER,1205,CATHY,LN,,,SANTA ANA,CA,92704,P0 B0X,,10014,SANTA ANA,CA,92711A,041-08-1001,19450711
A101557,Angela,,Barner,7101,tanager,dr,,,carlsbad,CA,92011,POBOX,1916,130967,Carlsbad,CA,92013,041-08-1001,19450711
A101908,A. BARNER,,BARNER,07101,TANAGER DRIVE,,,,CARLSBAD,CA,9201,P O BOX,1916,130967,CARLSBAD,CA,92013A,,19450711
A103468,ANGELA,,BARNER,7101,Tanager,Dr.,,,"Carl, sbad",CA,92011,PO BOX,1916,130967,Carlsbad,CA,92013,041081001,1945-07-11
A106834,Angela,,Barner,7101,TANAGER,DR,,A,Carlsbad,Ca,92011,"Po,Box",1916,130967,Carlsbad,CA,92013,041-08-1001,19450711
A104849,MICHEL,,LOPEZ,7101,Tanagar,DR,,,CARLSBAD,CA,92011,P0 B0X,,130967,CARLSBAD,CA,92013,041-08-1001,19450711
A103481,DIANNA,M,RIVERA,20514,Raymond Av,,,,Torrance,CA,90502,,,,,,,041-08-1001,19450711
A100400,ANGELA,,BAR NER,020514,RAYMOND,AVE,APT,B,TORRANCE,CA,9502,,,,,,,041081001,
A105664,Jen Warner,,RYDER,20514,RAYMOND,AVE,,,"Torrance,CA",,90502,,,,,,,,1945-07-11
A101632,David,,Ramirez,9301,TWINOAKS,DR.,,,manvel,TX,77578,,,,,,,041083281,1952-07-16
A103586,C.,,Estrada,9301,TWIN OAKS,DR,,,Manvel ,TX,77578-,,,,,,,041-08-3281,
A100658,CAREL,,ESTRADA,9301,Twin Oaks,Dr,,,MANVEL,TX,7758,,,,,,,041-008-3281,19520716 
A100700,KARL,,Estarada,930 1,TWIN OACKS,DR,,,Manvel,TX,77578,,,,,,,,1952
A106040,Carl,,Estrada,930I,TWIN OAKS,DRIVE,,,MANUEL,TX,77578A,,,,,,,41083281,16/07/1952
A103166,c Estrada,,,9301,TWNOAKS,,,,manve l,TX,75778,,,,,,,,
A104142,Car1,,Estrada,9929,Plainfeild,Dr,,," Ft,Worth",TX,76108,,,,,,,041083281,1952-07-16
A101243,Carl,,E STRADA,99 29,PLAINFIELD,DR.,,,fort worth,TX ,76108a,,,,,,,,19520716
A101899,C.,,Estrada,9929,PLANFIELD DR,,,,FtWorth,TX,76108,,,,,,,041-08-3281,
A106037,CARL,,ESTRAD0,144,CHESSAR,,,,KYLE,TX,78640,,,,,,,041-08-3281,19520716
A100178,Carl,,Estrada,144 ,CHSSE R,,,,Kyle,TX,7864,,,,,,,041083281,1952/07/16
A105688,C Estrada,,,1 44,CHE S S E R, ,,,KYLE,TX,78640 ,,,,,,,,1952
A106190,KARL,,ESTRADA,144,chesser,,,,kyle,TX,78640,,,,,,,041-08-3281,19520716
A102706,Carle,,Estrada,I44,Chesers,,,, Kyle,TX,786401,,,,,,,041083281,
A103227,C.,,Estrada,144,CHESER,,,,"kyle,",tx,78460,,,,,,,041-08-328,1952-07
A105467,Angela ,,Estrada,12460,STRICK,LN,,,houston,TX,77015,,,,,,,041081001,1945-07-11
A107075,A.,,Estrada,12460 ,STR1CK,LN,,,Huston,TX,7701,,,,,,,041-08-1001,19450711
A101113,ANGELA,,ESTRADA,12460,ST RICK,LN,,,houston,tx,,,,,,,,,
A101095,CARL,,ESTRADA,12460,STRICK,LN,,,Houston,TX,77015,,,,,,,041-08-3281,19520716
A101942,C.Estrada,,,1246o,STRIC,,,,HOUSTN,TX,770I5,,,,,,,,1952-07-16
A100587,carl,,strada,12460,STRICK LN,,,,"houston,",TX,77015,,,,,,,41083281,
A106790,Karl,,Estrada,12460,Strik,LN.,,,Houston,Tx,77015,,,,,,,041-08-3281,1952
A102932,MICHAEL,A,WOOTEN,12460,STRCK,LN,,,HOUSTON,TX,,,,,,,,,
A102888,Angela,,Estrada,825,KIOWA,Dr,,,lAKE KIOWA,TX,76240,,,,,,,045161170,1945-07-11
A100825,A. Estrada,,,825,KI OWA,DR.,,,"lake,kiowa",TX,7624O,,,,,,,041-08-100,194507
A106503,Angella,,Estrada,825 ,KIOWA,DRIVE,,,LAKE KIOWA,tx,76240-,,,,,,,,1945/07/11
A103330,RICHARD,,GONZALEZ,825,KIOWA DR,,,,LakeKiowa,TX,76240,,,,,,,041-08-1001,
A103073,Angela,,Estarada,825,KOWIA,DR,,,lake kiowa,TX,76240,,,,,,,041-08-1001,1945-07-11
A101809,Carl ,,Estrada,825,KIOWA,DR,,,LAKE KIOWA,TX,76240,,,,,,,041083281,1952-07-16
A106687,C.,,Estrada,825,Kiowa DR,,,,"Lake,KIOWA",tx,76240,,,,,,,,19520716
A100782,KARL,,ESTRADA,825,KIOWA,DR.,,,lake kiowa,TX,7624O ,,,,,,,041-08-3281,
A102391,Carl Estrada,,,825,KIOWA,DR,,,LAKE KIOWA,TX,,,,,,,,,1952
A100812,Angela,,Estrada ,105,maplewood,blvd,,,COCOA,FL,32926,,,,,,,045161170,1962-08-28
A101449,JAMES,,PEREZ,105 ,MAPLE WOOD,BLVD.,,,"Cocoa,",FL,3292,,,,,,,,19620828
A105267,Angla,,Estrada,I05,MAPLEWOOD BLVD,,,,COCOA,Fl,32926,,,,,,,045-16-1170,
A105578,Angela,,Estrada,170,Sherwood,Ave,,,satellite beach,FL,32937,P O BOX,31570,37262 4,SATELLITE BEACH,FL,32937-,045161170,19620828
A104880,A. Estrada,,,170 ,SHERWOOD,AVE.,,,"satellite,beach",FL,32937a,PO.BOX,31570 ,72624,SATELLITE BEACH,Fl,32937,045-16-1170,
A104713,ANGELA,,ESTRADA,170,SHERWOOD AVE,,,,SATELLITEBEACH,FL,32937,"po,bo",31570,372624,satellite beach,FL,32937,,1962-08-28
A105978,FERDINAND,,KHALIL,4647,NORTHFIELD,PL,,,LAND O LAKES,FL,34639,,,,,,,045178008,1964-04-26
A103507,F. Khalil,,,4647 ,NORTH FIELD,PL.,,,"land o,lakes",Fl,34639,,,,,,,,19640426
A105206,FERDINAD,,KHALIL,4647,NORTHELD,PL,,,LAND O LAKES,FL,3469,,,,,,,045-17-8008,
A106182,FERDINAND,,KHALIL,46 47,NORTHFIELD PL,,,,Land O Lakes,FL,34639,,,,,,,,1964
A104178,NICHOLE,,HIDALLGO,125,MEADOWRUN,DR,,,Madison,FL,32340,PO BOX,16035,556,MADISON,FL,32341,045-17-8008,19640426
A102588,ferdinand,,khalil,125,MEADOW RUN DR,,,,madison,Fl,3234O ,"po,box",16035,556,MADISON,FL,32341,045-17-8008,
A102598,F. Khalil,,,I25,MEADOW RUN,DR.,,,"madison,",FL,32340,PO.BOX,16035,556 ,madison,FL,32341,,1964-04-26
A103669,FERDINAND,,KHALLIL,125,MEADOWN,DR,,,Madison,FL,32340,PO BOX,16035,556,MADISON,FL,32341a,,19640426
A100191,FERDINAND,,KHALIL,12 5,MEADOW RUN,DR,,,MADISON,FL,32340,P0 B0X,16035,,MADISON,FL,32341,045178008,1964
A105568,Angela,,KHALIL,6043,hwy 98,,,,PANAMA CITY,FL,32404,,,,,,,045-16-1170,1962-08-28
A101900,A. Khalil,,,6043 ,HWY98,,,,"panama,city",Fl,32404 ,,,,,,,045161170,19620828
A102467,ANGELA,,KHALIL,6043,HWAY 98,,,,PANAMA CITY,FL,324O4,,,,,,,,
A104316,Ferdnand,,KHALIL,6043,highwaiy 98,,,,Panama city,FL,3240A,,,,,,,045178008,1964-04-26
A102905,ferdinand,,Khalil,604 3,hwy 98,,,,"panama,city",fl,32404,,,,,,,045-17-8008,
A102871,F. KHALIL,,,6043,HIGHWAY 98,,,,PNMA CITY,FL,32404,,,,,,,,19640426
A102425,FERDINAND,,KHALIL,6043,HIWAY 98,,,,PanamaCity,FL,3244,,,,,,,045 17 8008,1964
A106373,Angela,Khalil,Estrada,8111,Santa Ana,Road,,,Ventura,CA,93001,p.o box,1206,,Ventura,,930O2,XXX-XX-1170,1962/08/28
A103552,A. ESTRADA,,,8111,Snta ana,RD,,,VENTURA,CA,93001,POBX,"1206,464",,VENTURA,CA,93002,045-16-1170,
A106429,angELA,K.,estrada,8111,SANTA ANA,RD,,,VNTURA,CA,9300I,PO BOX,,464,VENTURA,CA,93002,045161170,62-08-28
A100302,Ferdinand,,KHALIL,1245 5,SUNCHASE,DR,,,JACKSONVILLE,FL,32246,P O BOX,4285,5314,JACKSONVILLE,FL,32247,045-17-8008,19640426
A104866,D. Rodriguez,,,12455,sun chase,DR,,,jacksonville,fl,3224,PO BOX,4285,5314,jacksonville,FL,32247,045178008,
A100470,f. khalil,,,12455,SUNCHASE DR.,,,,JXN VILLE,FLA,32246,P0 BOX,4285,,JACKSONVILLE,FL,32247,,1964-04-26
A104714,FERDINAND,,KHALIL,12455,SUNCHASE,DR,,,JACKSON-VILLE,FL,32246,,,,,,,045 17 8008,196404
A103538,FERDINAND,,KAHALIL,12455,SUNCHSE,DR,,,JACKSONVILLE,FL,32246,PBX,4285,,JACKSONVILLE,FL,32247,045-17-8008,19640426
A104348,FERNANDO,,KHALIL,12455,SUNCHASE,DR,,,JACKSONVILLLE,FL,32246,PO BOX,4285,5314,JAKSONVILLE,FL,32247,045-16-1170,19620828
A100815,Ferdinand,,KHALIL,603,FULTON RD,,APT,A7,Tallahassee,FL,32312,,,,,,,045-17-8008,19640426
A103589,F. Khalil,,,603,Fulton,Road,,,Tallahassee,Fl,323I2,,,,,,,,64/04/26
A102777,ferdy,,kahil,603,FULTON,RD,APT.,A-7,TLH,FL,32312,,,,,,,045-178008,19640426
A102004,FERDINAND,,KHALIL,603,ful ton,RD,APT,A7,"TALLAHASSEE, FL",FL,32312,,,,,,,045 17 8008,
A106914,FIerdinand,,KHALIL,603,FULTON,RD,APPT,A7,Tallahassee,FLL,32312,,,,,,,045-17-8008,1964
A105140,Ferdinand,,KHALIL,6141,APOLLO'S CORNER,WY,,,Orlando,FL,32829,PO BOX,1080,720506,Orlando,FL,32872,045-17-8008,19640426
A100070,ferdinand,,kahalil,6141,APOLLOS CORNER,WAY,,,Orlndo,FL,32829,"po,box",1080,,ORLANDO,FL,32872,045178008,
