refID1,tokens1,refID2,tokens2,truth
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",B961888,"TOMMY, ARIZA, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIF, 90009, 8185510606",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",B977323,"RICHARD, BCHECH, 881605, CALL, BOX, LOS, ANGELES, CALIF, 90009, 8184213781",0
A905488,"NILESH, F, MCKELVEY, 529, DANIELS, ST, WOODLAND, CA, 95695, 024714029",A949767,"F, MCKELVEY, 529, DANIELS, ST, WOODLAND, CA, 95695, 24714029, 1938",1
A905986,"HSAWNTHA, STONE, 7344, MONTERREY, DR, FORT, WORTH, TX, 76112, 028631963, 1936",A931934,"S, STONE, 11J211, S, POST, OAK, RD, APT, 30, HOUSTON, TX, 77035, HPO, BOX, 280034, APARTADO, HOUSTON, TEXAS, 77228, 26381963, 1936",1
A906845,"PAUL, I, HORACE, 2790, CIBOLA, AV, COSTA, MESA, CALIFORNIA, 9626, 24794774",A944711,"H, REGALADO, 100, CONCORD, ST, COSTA, MESA, CALIFORNIA, 92626, 32904242, 19250511",0
A906845,"PAUL, I, HORACE, 2790, CIBOLA, AV, COSTA, MESA, CALIFORNIA, 9626, 24794774",A957847,"FELI, CORNELISSEN, 3221MONTANA, AVENIDA, COSTA, MESA, CALIFORNIA, 92626, 25407736",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A926750,"M, R, JARAMILLO, 3901, MEADOWVIEW, DR, N, JACKSONVILLE, FLA, 32225, OFFICE, BOX, 5314, APARTADO, JACKSONVILLE, FLORIDA, 32247, 027094855",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A942028,"JAMES, C, MALONE, 1473, PAULK, LN, JACKSONVILLE, FL, 32220, CALLER, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 24384134, 19711",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A944799,"MAX, D, ERICKSON, 12853, OXFORD, DR, JACKSONVILLE, FLORIDA, 32224, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A955414,"LORI, C, WILMERDING, 111, E, 1ST, ST, APT, 43, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, POST, JACKSONVILLE, FLA, 32247, 27136307, 14242",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A974034,"JANICE, V, HENDRIX, 1473, PAULK, LANE, JACKSONVILLE, FL, 32225, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A993068,"ANTHONY, C, MCNEILL, 11275, CHAPELGATE, LN, JACKSONVILLE, FL, 32225, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247, 26478410",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",A993909,"MAUREEN, G, FERGUSON, 87F24, MERSEYSIDE, AVENUE, JACKSONVILLE, FL, 32219, BUZON, 5314, POST, JACKSONVILLE, FLA, 32247, 025921466",0
A907384,"VONNIE, S, GRAY, 2830, SAN, DIEGO, PLZ, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, APARTADO, JACKSONVILLE, FLA, 32247, 22253749, 1976",B920758,"JOSEPH, S, BENNETT, 5314, POST, OFFICE, JACKSONVILLE, FLORIDA, 32247, 9045205513",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",A915456,"JUAN, PALACIOS, 1535, N, SERRANO, AVE, APT, 12, LOS, ANGELES, CA90027, CALL, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIF, 90009, 22929301",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",A927926,"MARIA, BRADLEY, 810, 12, MICHELTORENA, ST, LOS, ANGELES, CALIFORNIA, 9E0026, OFFICE, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 22480634",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",A937401,"HECTOR, J, MZIGHELL, 4727, 3RD, AVE, LOS, ANGELES, A, 90043, O, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 23755056, 19531118",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",B933568,"ELLEN, C, ROBERTS, 4117, QUAIL, RANCH, RD, NEW, SMYRNA, BEACH, FLORIDA, 32168, 3864826624",1
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",B951712,"JENNIFER, D, MIDDLETON, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 8184213781",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",B961888,"TOMMY, ARIZA, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIF, 90009, 8185510606",0
A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",B977323,"RICHARD, BCHECH, 881605, CALL, BOX, LOS, ANGELES, CALIF, 90009, 8184213781",0
A907771,"PATRICIA, J, THAYER, 44348, 42ND, ST, W, LANCASTER, CALIFORNIA, 93536, 22603777",A931780,"PATRICIA, J, THAYER, 2938, GOVERNOR, DR, SAN, DIEGO, CA, 9222, BUZON, 45236, APTDO, SAN, DIEGO, CALIFORNIA, 92145, 022603777, 1925",1
A907771,"PATRICIA, J, THAYER, 44348, 42ND, ST, W, LANCASTER, CALIFORNIA, 93536, 22603777",A976349,"TONI, D, HARRELSON, 44348, 42ND, ST, W, LANCASTER, CALIFORNIA, 93536, 26850820",0
A907771,"PATRICIA, J, THAYER, 44348, 42ND, ST, W, LANCASTER, CALIFORNIA, 93536, 22603777",B993571,"MARIA, M, PAP, 5902, J12, WEST, AVE, LANCASTER, CALIFORNIA, 93536, 6614507515",0
A908732,"WILMA, M, GILLIAM, 340, NORTHWEST, 48TH, AV, APT, 511, LAUDERDALE, LAKES, FL, 33319, 23828662",A935740,"WILLIAM, M, GILLIAM, 3400, NW, 48TH, AVE, APT, 511, LAUDERDALE, LAKES, FLA, 33319, 23828662, 1967",1
A908732,"WILMA, M, GILLIAM, 340, NORTHWEST, 48TH, AV, APT, 511, LAUDERDALE, LAKES, FL, 33319, 23828662",B969144,"WILMA, M, GILLIAM, 2976, CALL, BOX, CEDAR, HILL, TX, 75106, 9724607050",1
A908732,"WILMA, M, GILLIAM, 340, NORTHWEST, 48TH, AV, APT, 511, LAUDERDALE, LAKES, FL, 33319, 23828662",B977526,"SONIA, A, CONTRERAS, 3549, NW, 39TH, AVEN, LAUDERDALE, LAKES, LA, 33309, 9543488347",0
A909014,"DAVID, W, JERDAN, 2028, IBAYOU, DR, NAVARRE, FL, 32566, 42774",A913345,"DAVID, W, JERDAN, 17750, SW, 154TH, ST, MIAMI, FL, 33187, 32615043",1
A909028,"GARY, E, ESTRADAGOMEZ, 15040, SILVERSMITHN, CRCLE, SPRING, HILL, FLA, 34609, BOX3353, SPRING, HILL, FL, 34611, 15386",B918182,"GARY, E, ESTRADAGOMEZ, 138, N, HUBBARD, AVNUE, APT11, SAN, FERNANDO, CALIFORNIA, 91340, 8186214401",1
A909028,"GARY, E, ESTRADAGOMEZ, 15040, SILVERSMITHN, CRCLE, SPRING, HILL, FLA, 34609, BOX3353, SPRING, HILL, FL, 34611, 15386",B957929,"GARY, E, ESTRADAGOMEZ, 17110, NW, US, HIGHWAY, 19, FANNING, SPRINGS, FL, 32693, 3524200417",1
A909151,"IRMA, H, SALEH, 7361, BOLTEN, LN, PORT, CHARLOTTE, FL, 33981, 27167247",A966619,"DARRIN, M, CHAVEZ, 7361, BOLTEN, LN, PORT, CHARLOTTE, FL, 33981, 27191139",0
A909151,"IRMA, H, SALEH, 7361, BOLTEN, LN, PORT, CHARLOTTE, FL, 33981, 27167247",A979941,"IRMA, H, SALEH, 381, DEL, MONTE, RD, APT, A, SEBASTIAN, FLORIDA, 32958, 1957",1
A909295,"WILLIAM, VILLARREAL, 20681, XOLEANDER, AVENIDA, PERRIS, JCA, 92570, 25317183, 1903",A961284,"GURVINDER, W, MONTGOMERY, 17230, ESPERANZA, DR, PERRIS, CALIF, 92570, 023122427, 28022",0
A909295,"WILLIAM, VILLARREAL, 20681, XOLEANDER, AVENIDA, PERRIS, JCA, 92570, 25317183, 1903",B989260,"WILLIAM, VILLARREAL, 628, PALMETTO, ST, WELAKA, FLA, 32193, 3866442252",1
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",A944970,"MANUEL, M, KIRBY, 1512, ELMWOOD, BOULEVARD, DALLAS, TAX, 75224, BUZON, 810892, POST, OFFICE, DALLAS, TEXAS, 75381, 025246842",0
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",A952652,"DZOVINAR, C, EDEN, 6406, GARLINGHOUSE, LANE, DALLAS, TX, 75252, PO, BOX, 810892, POST, OFFICE, DALLAS, TEXAS, 75381, 26373745",0
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",A971634,"JOSE, M, GONZALEZ, 2828, LONESOME, DOVE, LANE, DALLAS, TX, 75237, PO, BOX, 810892, POST, OFFICE, DALLAS, TEXAS, 75381, 26331185",0
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",B905191,"ETHELE, L, MARBLE, 4313, POST, WICHITA, FALLS, TX, 76308, 9401038240",1
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",B946055,"ETHELE, L, MARBLE, 510, TIMBERLINE, DRIV, BULLARD, TEXAS, 75757, 9036644377",1
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",B957361,"LARRY, GARCIA, 810892, APARTADO, DALLAS, TEXAS, 75381, 2141032513",0
A909296,"ETHELE, L, MARBLE, 3773, RIPPLE, CREEK, DR, DALLA, TEXAS, 75224, PO, BOX, 810892, POST, BOX, DALLAS, TEXAS, 75381, 23031960",B974422,"MILDRED, C, SALAZAR, 810892, APARTADO, DALLAS, TKX, 75381, 2141683114",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A926750,"M, R, JARAMILLO, 3901, MEADOWVIEW, DR, N, JACKSONVILLE, FLA, 32225, OFFICE, BOX, 5314, APARTADO, JACKSONVILLE, FLORIDA, 32247, 027094855",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A942028,"JAMES, C, MALONE, 1473, PAULK, LN, JACKSONVILLE, FL, 32220, CALLER, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 24384134, 19711",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A944799,"MAX, D, ERICKSON, 12853, OXFORD, DR, JACKSONVILLE, FLORIDA, 32224, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A955414,"LORI, C, WILMERDING, 111, E, 1ST, ST, APT, 43, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, POST, JACKSONVILLE, FLA, 32247, 27136307, 14242",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A974034,"JANICE, V, HENDRIX, 1473, PAULK, LANE, JACKSONVILLE, FL, 32225, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A993068,"ANTHONY, C, MCNEILL, 11275, CHAPELGATE, LN, JACKSONVILLE, FL, 32225, PO, BOX, 5314, POST, JACKSONVILLE, FLORIDA, 32247, 26478410",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",A993909,"MAUREEN, G, FERGUSON, 87F24, MERSEYSIDE, AVENUE, JACKSONVILLE, FL, 32219, BUZON, 5314, POST, JACKSONVILLE, FLA, 32247, 025921466",0
A909680,"VALERIE, A, GUY, 7395, EDENFIELD, PARK, RD, JACKSONVILLE, FL, 32244, POST, OFFICE, BOX, 5314, CALL, BOX, JACKSONVILLE, FLORIDA, 32247, 26134977",B920758,"JOSEPH, S, BENNETT, 5314, POST, OFFICE, JACKSONVILLE, FLORIDA, 32247, 9045205513",0
A910260,"CHARLEEN, A, PAZZI, 2311, HICKORY, PINES, STRT, ORLANDO, FLA, 32817, 026070201, 1920",A983520,"C, A, PAZZI, 6934, DE, SOTO, AVE, CANOGA, PARK, CA, 91303, 026070201",1
A910414,"MANNY, MULLIS, 111, E, 1ST, ST, APT, 43, JACKSONVILLE, FLORIDA, 32206, POST, OFFICE, 5E314, JACKSONVILLE, FLORIDA, 32247, 12203",A955414,"LORI, C, WILMERDING, 111, E, 1ST, ST, APT, 43, JACKSONVILLE, FLORIDA, 32207, PO, BOX, 5314, POST, JACKSONVILLE, FLA, 32247, 27136307, 14242",0
A911648,"ROBERT, BEN, FALL, 1693, RODEAR, RD, SAN, DIEGO, CALIFORNIA, 92154, 026841318",A919603,"BOB, BEN, FALL, 693, RODEAR, RD, SAN, DIEGO, CALIFORNIA, 92154, 26481318",1
A911648,"ROBERT, BEN, FALL, 1693, RODEAR, RD, SAN, DIEGO, CALIFORNIA, 92154, 026841318",A996821,"BOB, BEN, FALL, 2495, PALO, VISTA, RD, FALLBROOK, CA, 92028, 23572",1
A911757,"BLANCA, ARTENSTEIN, 1004, KIMBRO, DR, FORNEY, TEXAS, 75126",A948047,"B, ARTENSTEIN, 1004, KIMBRO, DRIVE, FORNEY, TEXAS, 75126, 24791540, 1960",1
A911757,"BLANCA, ARTENSTEIN, 1004, KIMBRO, DR, FORNEY, TEXAS, 75126",B963691,"BLANCA, H, ARTENSTEIN, 1355, CALLER, MARTINEZ, CA, 94553, 9253276773",1
A911757,"BLANCA, ARTENSTEIN, 1004, KIMBRO, DR, FORNEY, TEXAS, 75126",B991224,"BLANCA, ARTENSTEIN, 11351, POST, OFFICE, SPRING, TEXAS, 77391, 2813565062",1
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",A916775,"FRANKLIN, BELOTE, 761, NORTHWEST, 187TH, DR, MIAMI, FL, 33169, PO, BOX, 430115, MIAMI, FLORIDA, Q33243, 26490062",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",A935709,"FREDERICK, MILLER, 1131, NORTHWEST, 199T, STREET, MIAMI, FL, 33169, PO, BOX, 430115, APTDO, MIAMI, FLORIDA, 33243, 26985558",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",A946131,"PAUL, M, GROTEY, 3352, NW, 49TH, ST, MIAMI, FLORIDA, 33142, CALLER, 430115, BUZON, MIAMI, FLA, 33243, 27166396, 39650",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",A966288,"SHELLY, E, MONTES, 7465, SW, 19TH, TER, MIAMI, FLA, 33155, PO, BOX, 430115, APTDO, MIAMI, FLORIDA, 33243, 26270736",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",B914497,"PARMENDRA, N, RIVIERETHOMPSON, 430115, POST, OFFICE, BOX, MIAMI, LA, 33243, 3053748608",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",B936106,"MARTINEZ, 430115, BUZON, MIAMI, FLA, 33243, 3051085434",0
A912235,"KENNETH, NAVA, 12135, NW, 21ST, PL, MIAMI, FL, 33169, PO, OX, 430115, BUZON, MIAMI, FLA, 33243, 26876926",B998854,"R, HUMPHREYS, 430115, APTDO, MIAMI, FLORIDA, 33243, 3054343371",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",A935709,"FREDERICK, MILLER, 1131, NORTHWEST, 199T, STREET, MIAMI, FL, 33169, PO, BOX, 430115, APTDO, MIAMI, FLORIDA, 33243, 26985558",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",A946131,"PAUL, M, GROTEY, 3352, NW, 49TH, ST, MIAMI, FLORIDA, 33142, CALLER, 430115, BUZON, MIAMI, FLA, 33243, 27166396, 39650",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",A966288,"SHELLY, E, MONTES, 7465, SW, 19TH, TER, MIAMI, FLA, 33155, PO, BOX, 430115, APTDO, MIAMI, FLORIDA, 33243, 26270736",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",B914497,"PARMENDRA, N, RIVIERETHOMPSON, 430115, POST, OFFICE, BOX, MIAMI, LA, 33243, 3053748608",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",B936106,"MARTINEZ, 430115, BUZON, MIAMI, FLA, 33243, 3051085434",0
A912593,"B, A, CALVO, 3254, SW, 57TH, CT, MIAMI, FL, 33155, PO, BOX, 430115, MIAMI, FL, 33243",B998854,"R, HUMPHREYS, 430115, APTDO, MIAMI, FLORIDA, 33243, 3054343371",0
A912953,"DORIS, MENDEZ, 1411CANON, YEOMANS, TRL, AUSTIN, TX, 78748, 025209955",A939530,"DORIS, MENDEZ, 122, STONEGATE, NORTH, BOERNE, TX, 78006, 25209955, 19440821",1
A913358,"ALLY, PERALTA, 14967, CERRITOS, PL, FONTANA, CALIFORNIA, 92336, 025288749, 40436",A998330,"ALICIA, PERALTA, 7051, HENDONQ, LN, HOUSTON, TEXAS, 77077, PO, BOX, 280034, APARTADO, HOUSTON, TEXAS, 77228, 25288749, 40436",1
A913358,"ALLY, PERALTA, 14967, CERRITOS, PL, FONTANA, CALIFORNIA, 92336, 025288749, 40436",B950063,"MIGUEL, H, MADARANG, 8042, LOMAS, CT, FONTANA, CALIFORNIA, 92336, 9092045385",0
A913358,"ALLY, PERALTA, 14967, CERRITOS, PL, FONTANA, CALIFORNIA, 92336, 025288749, 40436",B997674,"ALLY, PERALTA, 7653, POST, OFFICE, BOX, OMDESSA, TEXAS, 79760, 9156245587",1
A913465,"TONJA, R, RTUDO, 825, E, PALOMAR, ST, 1006, CHULA, VISTA, CALIFORNIA, 91911, 27218024, 43308",B916693,"A, R, SILLIVAN, 1377, MOUNTAIN, VIEW, LN, CHULA, VISTA, CALIFORNIA, 91911, 6194775510",0
A913926,"TAMMIE, THOMPSON, 729, JEREY, DRIV, GONZALEZ, CALIF, 93926, 22431637",A935204,"MITCHELL, E, THOMPSON, 1150OAKPOINT, DRIV, BAY, POINT, CA, 94565, 22430543",0
