clusterID,refID,tokens,truth
A904913,A930639,"J, C, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801",1
A904913,A977354,"JOEY, C, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801, 21528240",1
A904913,B907721,"J, C, WHITE, 235, HEMPSTEAD, 25, HOPE, ARK, Y71801, 8701555510",1
A904913,B917277,"J, C, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801, 8701555510",1
A904913,B954771,"JOEY, C, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801, 8701555510",1
A904913,B996923,"BARBARA, M, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801, 8701555510",0
A905010,A905010,"HOPE, Z, COOLING, 2731, ERS, LANE, MISSOURI, CITY, TEXAS, 77459, 026125060, 37882",1
A905010,A936202,"HOPE, Z, COOLING, 2731, EROS, LN, MISSOURI, CITY, TEXAS, 77459, 26125600",1
A905041,A905041,"CARLDREK, M, CHAVEZ, 16060, SW, INDIANWOOD, CIR, INDIANTOWN, FL, 34956, PO, BOX, 2051, INDIANTOWN, FL, 34956, 023285418",1
A905041,B997013,"CARLDREK, M, CHAVEZ, 2051, BOX, INDIANTOWN, FL, 34956, 7727884067",1
A905153,A905153,"CRUZ, S, 3660, N, 56TH, AVE, APT604, HOLLYWOOD, FL, 33021, PO, BOX, 817432, HOLLYWOOD, FL, 33081, 22075433, 38106",1
A905153,A989619,"CHRISTINE, BROWN, 3800, VAN, BUREN, STRT, 210LTA, HOLLYWOOD, FL, 33021, OFFICE, BX, 817432, HOLLYWOOD, FLORIDA, 33081, 23805088, 17568",0
A905153,B900601,"CRUZ, S, 817432, OFFICE, BOX, 817432, HOLLYWOOD, FLORIDA, 33081, 9542431306",1
A905153,B955114,"MARGARITA, A, OYEBAMIJI, 817432, CALL, BOX, 817432, HOLLYWOOD, FLORIDA, 33081, 9547260007",0
A905153,B990212,"CHRISTINE, BROWN, 817432, OFFICE, BOX, 817432, HOLLYWOOD, FLA, 33081, 9545365780",0
A905320,A905320,"HOPE, Z, COOLING, 14325, CEDAR, POST, DR, HASLET, TEXAS, 76052, 26125006, 37882",1
A905320,A920464,"HOPE, Z, COOLING, 14325, CEDAR, POST, DR, HASLET, TEXAS, 76052, 026125060",1
A905320,B992520,"HOPE, Z, COOLING, 14325, CEDAR, POSTE, DRV, HASLET, TEXAS, 76052, 8172211185",1
A905320,B996107,"HOPE, Z, COOLING, 14325, CEDAR, POST, DR, HASLET, TEXAS, 76052, 8172211185",1
A905465,A905465,"SHADI, MARTINEZRUIZ, 11029, VANESSA, AVE, ENGLEWOOD, FLORIDA, 34224, 024770844, 1929",1
A905465,A963360,"SHADI, MARTINEZRUIZ, 11029, VANESSA, AVE, ENGLEWOOD, FLORIDA, 34224",1
A905465,A995926,"MARTINEZRUIZ, 11029, VANESSA, AVENIDA, ENGLEWOOD, FLORIDA, 34224, 024770844",1
A905465,B943042,"SHADI, MARTINEZRUIZ, 11029, VANESSA, AVENIDA, ENGLEWOOD, FLORIDA, 34224, 9417374742",1
A905465,B982653,"MARTINEZRUIZ, 11029, VANESSA, AVE, ENGLEWOOD, FLORIDA, 34224, 9417374742",1
A905465,B983155,"SHADI, MARTINEZRUIZ, 11029, VANESSA, AVE, ENGLEWOOD, FLORIDA, 34224, 9417374742",1
A905547,A905547,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 23312087, 1935",1
A905547,A912900,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 023312708, 19350722",1
A905547,A917828,"TERESA, H, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210",0
A905547,A962793,"TERESA, H, RO, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 023258770",0
A905547,A980501,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 023312078",1
A905547,A985637,"TYRZA, H, RO, 2000, CLUB, VIEW, CRCLE, CORINTH, TEXAS, 76Z210, 203258770, 11976",0
A905547,B899193,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 9403678873",1
A905547,B901719,"TERESA, H, RO, 2000, CLUB, VIEW, CIR, CORINTH, TAX, 76210, 9403678873",0
A905547,B910817,"TYRZA, H, RO, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 9403678873",0
A905547,B912472,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 9403678873",1
A905547,B972318,"DUANE, VALENTINE, 2000, CLUB, VIEW, CIR, CORINTH, TEXAS, 76210, 9403678873",1
A905547,B993489,"TERESA, H, VALENTINE, 2000, CLUB, VIEW, CRCLE, CORINTH, TEXAS, 76210, 9403678873",0
A905562,A905562,"CHRISTINA, ROJAS, 1730, S, CONLON, AVE, WEST, COVINA, CALIFORNIA, 91790, 24136883",1
A905562,A915843,"CHRISTINA, ROJAS, 1730, S, CONLON, AVE, WEST, COVINA, CALIFORNIA, 91790, 24136883, 1943",1
A905562,B958470,"CHRISTINA, ROJAS, 1730, S, CONLON, AVE, WEST, COVINA, CALIFORNIA, 91790, 6261137864",1
A905562,B985407,"CHRISTINA, ROJAS, 1730, S, CONLON, AVENUE, WEST, COVINA, CALIFORNIA, 91790, 6261137864",1
A905577,A905577,"GLEN, K, JANISCH, 5204, SWAPS, CT, BAKERSFIELD, CALIF, 93312, PO, BOX, 60103, BAKERSFIELD, CA, 93386, 28559531, 1949",1
A905577,B945235,"GLEN, K, JANISCH, 60103, APARTADO, BAKERSFIELD, CALIFORNIA, 93386, 6617677447",1
A905600,A905600,"MICHAEL, L, WYNN, 2106, PINETREE, CT, RANCHO, CORDOVA, CALIFORNIA, 95670, 021777345, 39159",1
A905600,A923538,"L, WYNN, 2106, PINETREE, CT, RANCHO, CORDOVA, CALIFORNIA, 95670",1
A905600,B930328,"MICHAEL, L, WYNN, 2106, PINETREE, CT, RANCHO, CORDOVA, CALIFORNIA, 95670, 9164027362",1
A905600,B965528,"L, WYNN, 2106, PINETREE, COURT, RANCHOCORDOVA, CA, 95670, 9164027362",1
A905663,A905663,"ALICHA, K, SNEED, 7485, WREN, AVE, GILROY, CA, 95020, 024047556",1
A905663,B914169,"ALICHA, K, SNEED, 7485, WREN, AVE, GILROY, ALI, 95020, 4084636253",1
A905693,A905693,"MELONY, R, GREGORY, 3731, ROCKY, WOODS, DRV, KINGWOOD, TX, 77339, 26394931, 1930",1
A905693,A949415,"R, GREGORY, 3731, ROCKY, WOODS, DRV, KINGWOOD, TX, 77339",1
A905748,A905748,"CHRISTINE, M, BROWN, 14092, POLLARD, DRV, LYTLE, CREEK, CA, 92358, 23805088",1
A905748,A925503,"CHRISTINE, M, BROWN, 14092, POLLARD, DR, LYTLE, CREEK, CA, 92358, 23805088, 19480205",1
A905748,A983176,"CHRISTINE, M, BROWN, 14092, POLLARD, DR, LYTLE, CREEK, CA, 92358, 23805088",1
A905748,B921406,"CHRISTINE, M, BROWN, 14092, POLLARD, DR, LYTLE, CREEKCA, 92358, 9096311870",1
A905748,B950012,"CHRISTINE, M, BROWN, 14092, POLLARD, DRV, LYTLE, CREEK, CA, 92358, 9096311870",1
A905748,B974597,"CHRISTINE, M, BROWN, 14092, POLLARD, DRIVE, LYTLE, CREEK, CALI, 92358, 9096311870",1
A905773,A905773,"M, FRESE, 7724, PARKLAND, DRV, EL, PASO, TX, 79928, POST, OFFICE, BOX, 27096, CALLER, EL, PASO, TX, 79926",1
A905773,B914605,"M, FRESE, 7724, GARLAND, DR, EL, PASO, TX, 79925, 9152713885",1
A905817,A905817,"GRISEL, J, GAPOL, 1124, WESTACRE, ROAD, WEST, SACRAMENTO, CALIFORNIA, 95691, 023605107, 40739",1
A905817,A970329,"GRISEL, J, GAPOL, 1124, WESTACRE, RD, WEST, SACRAMENTO, CALIFORNIA, 95691, 23605017",1
A905817,B899018,"GRISEL, J, GAPOL, 1124, WESTACRE, RD, WEST, SACRAMENTO, CALIFORNIA, 95691, 9166247523",1
A905817,B979797,"GRISEL, J, GAPOL, 1124, WESTACRE, ROAD, WEST, SACRAMENTO, CALIFORNIA, 95691, 9166247523",1
A905823,A905823,"JOHN, R, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, TEXAS, 75068, 24281904",1
A905823,A964525,"JOHN, R, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, TEXAS, 75068",1
A905823,A969654,"SONIA, G, DICKEY, 71, LAKE, GROVE, DR, LITTLE, ELM, TEXAS, 75068, 24279712",0
A905823,A977160,"SONIA, G, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, TX, C75068, 024279712",0
A905823,B920718,"JOHN, R, DICKEY, 712, LAKE, GROVE, D, LITTLE, ELM, TEXAS, 75068, 9721053320",1
A905823,B924148,"SONIA, G, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, TEXAS, 75068, 9721053320",0
A905823,B953471,"JOHN, R, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, BOX, 75068, 9721053320",1
A905823,B993219,"SONIA, G, DICKEY, 712, LAKE, GROVE, DR, LITTLE, ELM, TEXAS, 75068, 9721053320",0
A905844,A905844,"CHARLES, BRYAN, WARD, 4142, FISHER, STRT, LOS, ANGELES, CA, 90063, 25186772",1
A905844,A917767,"M, MIRANDA, 4142, FISHER, ST, LOS, ANGELES, CA, 90063, 25185706",0
A905844,A935630,"CHARLES, BRYAN, WARD, 720, S, BELT, LINE, RD, DALLAS, TEXAS, Q75253, 25186772, 36655",1
A905844,A959820,"CHARLES, BRYAN, WARD, 720, S, BELT, LINE, RD, DALLAS, TX, 75253",1
A905844,A975813,"CHAD, BRYAN, W, 4142, FISHER, ST, LOS, ANGELES, CA, 90063, 21586772",1
A905844,A976131,"ELIZABETH, M, WARD, 4142, FISHER, ST, LOS, ANGELES, CA, 90063",0
A905844,A996807,"CHARLES, BRYAN, WARD, 720, S, BELT, LINE, RD, DALLAS, TX, 75253, 25186772",1
A905844,B920872,"CHARLES, BRYAN, WARD, 720, S, BELT, LINE, RD, DALLAS, TX, 75253, 2146023457",1
A905844,B927310,"CHAD, BRYAN, W, 4142, FISHER, STRT, LOS, ANGELES, CALIFORNIA, 90063, 8188068527",1
A905844,B941030,"ELIZABETH, M, WARD, 4142, FISHER, ST, LOS, ANGELES, CA, B90063, 8188068527",0
A905844,B969832,"CHARLES, BRYAN, WARD, 720, SOUTH, BELT, LINE, RD, DALLAS, TX, 75253, 2146023457",1
A905844,B971379,"M, MIRANDA, 4142, FISHER, ST, LOS, ANGELES, CALIFORNIA, 90063, 8188068527",0
A905844,B996390,"CHARLES, BRYAN, WARD, 720, SOUTH, BELT, LINE, RD, DALLAS, TEXAS, 7B5253, 2146023457",1
A905844,B997117,"CHARLES, BRYAN, WARD, 4142, FISHER, ST, LOS, ANGELES, CALIFORNIA, 90063, 8188068527",1
A905951,A905951,"ISMENIA, H, MOONEY, 1302, LO, MAR, ST, BENTONVILLE, AR, 72712, PO, OX, 2223, BENTONVILLE, AR, 72712, 24895922",1
A905951,B928744,"ISMENIA, H, MOONEY, 1302, LO, MAR, ST, BENTONVILLE, AR, 72712, 4795322886",1
A905966,A905966,"JESSICA, JIMENEZ, 2041, N, WINERY, AVE, APT, 104, FRESNO, CA, 93703, BUZON, 5991, FRESNO, CA, 93755",1
A905966,B932126,"JESSICA, JIMENEZ, 2041, N, WINERY, AVE, APT, 104, FRESNO, CA, 93703, 5593246130",1
A905978,A905978,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TEXA, 76133, 22157858",1
A905978,A938019,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TX, 76133",1
A905978,A948338,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TX, 7133, 022157858",1
A905978,B941790,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TX, 76133, 8178610113",1
A905978,B943778,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TX, 76133, 8178610113",1
A905978,B954266,"JUAN, M, FERREIRA, 6108, SPRINGLEAF, CIR, FORT, WORTH, TX, 76133, 8178610113",1
A906014,A906014,"MICHAEL, M, CORTES, 4332, KRAG, ST, EL, PASO, TEXAS, 79938, 24757929",1
A906014,A987152,"MICHAEL, M, CORTES, 4332, KRAG, ST, EL, PASO, TEXAS, 79938, 24757929",1
A906079,A906079,"VICTORIA, L, THOMAS, 1915, ILLINOIS, ST, VALLEJO, G, CA, 94590, OFFICE, BOX, 5745, VALLEJO, CALIFORNIA, 94591",1
A906150,A906150,"GRISEL, J, J, GAPOL, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 23605071",1
A906150,A914838,"GRISEL, J, GAPOL, 10332, BEAR, CREEK, TRAIL, KELLER, TEXAS, 76248",1
A906150,A944661,"GRISEL, J, JERDAN, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 23605017",1
A906150,B904835,"DAVID, W, JERDAN, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 8175245503",0
A906150,B907447,"GRISEL, J, JERDAN, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 8175245503",1
A906150,B930719,"DAVY, W, JERDAN, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 8175245503",0
A906150,B933315,"GRISEL, J, GAPOL, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 8175245503",1
A906150,B982927,"GRISEL, J, J, GAPOL, 10332, BEAR, CREEK, TRL, KELLER, TEXAS, 76248, 8175245503",1
A906172,A906172,"TORY, L, THOMAS, 1515, WEBSTER, ST, SAN, ANGELO, TEXAS, 76901",1
A906172,A907237,"TORY, L, THOMAS, 1515, WEBSTER, ST, SAN, ANGELO, TEXAS, 76901, 25328176",1
A906172,A967708,"VICKI, L, THOMAS, 1515, WEBSTER, STREET, SAN, ANGELO, TEXAS, 76901, 52328176",1
A906172,B910606,"TORY, L, THOMAS, 1515, WEBSTER, STR, SAN, ANGELO, TEXAS, 76901, 9156715882",1
A906172,B946359,"VICKI, L, THOMAS, 1515, WEBSTER, ST, SAN, ANGELO, TEXAS, 76901, 9156715882",1
A906172,B985033,"TORY, L, THOMAS, 1515, WEBSTER, ST, SN, ANGELO, TEXAS, 76901, 9156715882",1
A906178,A906178,"MARTIN, J, BAILEY, 238, CONNIE, ST, HOUSTON, TEXAS, 77076, 22564036, 25223",1
A906178,A993709,"MARTIN, J, BAILEY, 238, CONNIE, ST, HOUSTON, TEXAS, 77076, 25223",1
A906194,A906194,"WON, R, DENHART, 1712, E, PINE, AVE, EL, SEGUNDO, CA, 90245, 026806788, 1959",1
A906194,A984962,"WON, R, DENHART, 1712, E, PINE, AVENUE, EL, SEGUNDO, CA, 90245, 026806788",1
A906197,A906197,"JOSE, SAMMARRO, 9600, GOLF, LAKES, TRL, APT, 1144, DALLAS, TX, 75231, 25667",1
A906197,B932600,"P, E, SAMMARRO, 9600, GOLF, LAKES, TRL, APT, 1144, DALLAS, TX, 75231, 2141030101",0
A906202,A906202,"E, GARCIA, 7360, NW, 18TH, ST, 37107, MARGATE, FLORIDA, 33063, 022886056",1
A906202,A911354,"ELAINE, GARCIA, 7360, NW, 18TH, ST, 37107, MARGATE, FLORIDA, 33063",1
A906202,A969303,"ELAINE, GARCIA, 7360, NW, 18TH, ST, 37107, MARGATE, FLORIDA, 33063, 28286056, 1946",1
A906202,B910278,"ELAINE, GARCIA, 7360, NW, 18H, STRT, U, 37107, MARGATE, FLA, 33063, 9543861372",1
A906202,B958033,"E, GARCIA, 7360, NW, 18TH, ST, 37107, MARGATE, FLORIDA, 33063, 9543861372",1
A906202,B970520,"ELAINE, GARCIA, 7360, NW, 18TH, ST, 37107, MARGATE, FLORIDA, 33063, 9543861372",1
A906213,A906213,"KARLA, S, LOR, 395, APRICOT, ST, NIPOMO, CALIFORNIA, 93444",1
A906213,A941936,"KARLA, S, LOR, 395, APRICOT, ST, NIPOMO, CALIFORNIA, 93444, 23126909",1
A906213,B933414,"KARLA, S, LOR, 395, APRICOT, ST, NIPOMO, CALIFORNIA, 93444, 8057457045",1
A906213,B936420,"KARLA, S, LOR, 395, APRICOT, ST, NIPOMO, CALIFORNIA, 93444, 8057457045",1
A906267,A906267,"I, P, B, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 24230419",1
A906267,A932802,"J, J, BEJARANO, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 24234112",0
A906267,A941050,"JAIME, J, BEJARANO, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 024234112, 1976",0
A906267,A973613,"ISABEL, P, BATTLES, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250",1
A906267,A994945,"P, BATTLES, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 024230419, 19810206",1
A906267,B905167,"I, P, B, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 2102707158",1
A906267,B939716,"P, BATTLES, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 2102707158",1
A906267,B973541,"ISABEL, P, BATTLES, 7626, RIMHURST, SAN, ANTONIO, TEXAS, 78250, 2102707158",1
A906293,A906293,"NILESH, F, MCKELVEY, 30204, VIA, AMANTE, MENIFEE, CALIFORNIA, 92584, 27414029",1
A906293,A927544,"NILESH, F, MCKELVEY, 30204, VIA, AMANTE, MENIFEE, CALIFORNIA, 92584",1
A906293,A940171,"NILESH, F, MCKELVEY, 30204, VIA, AMANTE, MENIFEE, CALIFORNIA, 92584, 24714029",1
A906293,B905645,"NILESH, F, MCKELVEY, 30204, VIA, AMANTE, MENIFEE, CALIFORNIA, 92584, 9092715285",1
A906293,B953532,"NILESH, F, MCKELVEY, 30204, IADUCT, AMANTE, MENIFEE, CALIF, 92584, 9092715285",1
A906293,B974222,"NILESH, F, MCKELVEY, 30204, VIA, AMANTE, MENIFEE, CALIFORNIA, 92584, 9092715285",1
A906321,A906321,"RANDALL, M, HERNANDEZ, 6915, DRY, CREEK, RD, RIO, LINDA, CA, 95673, 25930462",1
A906321,A993560,"RANDALL, M, HERNANDEZ, 6915, DRY, CREEK, RD, RIO, LINDA, CA, 95673, 25930462, 1932",1
A906321,B911507,"RANDALL, M, HERNANDEZ, 6915, DRY, CREEK, ORD, RIO, LINDA, CA, 95673, 9161681386",1
A906321,B932116,"RANDALL, M, HERNANDEZ, 6915, DRY, CREEK, RD, RIO, LINDA, CA, 95673, 9161681386",1
A906338,A906338,"JO, N, BOSCH, 215, BEACON, WAY, SANTA, ROSA, BEACH, FLORIDA, 32459, PO, BOX, 1319, SANTA, ROSA, BEACH, FL, 32O459",1
A906338,A997573,"JUAN, LODUCA, 215, BEACON, WAY, SANTA, ROSA, BEACH, FLORIDA, 32459, CALL, BOX, 1319, SANTA, ROSA, BEACH, FLORIDA, 32459, 026201164, 1965",0
A906338,B993152,"JO, N, BOSCH, 215, BEACON, WAY, SANTA, ROSA, BEACH, FLA, 32459, 8502576361",1
A906347,A906347,"PAUL, M, G, 6734, KINGSWOOD, DR, N, ST, PETERSBURG, FL, 33702, 27166396",1
A906347,A933921,"PAUL, M, GROTEY, 6734, KINGSWOOD, DR, N, ST, PETERSBURG, FL, 33702",1
A906347,A959287,"PAUL, M, GROTEY, 6734, KINGSWOOD, DR, N, ST, PETERSBURG, FLA, 33702, 207166396",1
A906362,A906362,"GLADYS, HAYES, 4329, SUMMER, STAR, N, KELLER, TX, 7248, 21582249, 1902",1
A906362,A918120,"GLADYS, RODRIGUEZ, 4329, SUMMER, STAR, LANE, KELLER, TEXAS, 76248, 021582249",1
A906362,A920262,"BRADLEY, D, HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 21589060",0
A906362,A964918,"BRADLEY, D, HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 021589060, 1912",0
A906362,A996538,"HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 021582249, 1902",1
A906362,B940429,"BRADLEY, D, HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 8172355771",0
A906362,B941675,"HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 8172355771",1
A906362,B953146,"BRADLEY, D, HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 8172355771",0
A906362,B956857,"GLADYS, RODRIGUEZ, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 8172355771",1
A906362,B988693,"GLADYS, HAYES, 4329, SUMMER, STAR, LN, KELLER, TEXAS, 76248, 8172355771",1
A906433,A906433,"HELIO, E, RIVERA, 401, WALKER, ST, ARVIN, CAIFORNIA, 93203, 1951",1
A906433,A919864,"HELIO, E, RIVERA, 401, WALKER, STR, ARVIN, CA, 93203",1
A906433,A954755,"HELIO, E, RIVERA, 401, WALKER, ST, ARVIN, CA, 93203, 32388816",1
A906433,B915227,"HELIO, E, RIVERA, 401, WALKER, STR, ARVIN, CA, 93203, 6618536118",1
A906433,B937546,"HELIO, E, RIVERA, 401, WALKER, ST, ARVIN, CA, 93203, 6618536118",1
A906433,B981948,"HELIO, E, RIVERA, 401, WALKER, ST, ARVIN, CA, 93203, 6618536118",1
A906565,A906565,"JUNE, LEDEZMA, 5118, 31ST, AVE, S, APT, 1, GULFPORT, FLORIDA, 33707",1
A906565,A969805,"JUNE, LEDEZMA, 5118, 31ST, AVEN, SOUTH, APT, 1, GULFPORT, FLORIDA, 33707",1
A906565,A982544,"JUNE, LEDEZMA, 5118, 31ST, AVENUE, S, APT, 1, GULFPORT, FLORIDA, 33707, 26826120",1
A906578,A906578,"WILMA, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALIFORNIA, 90201, 25317183, 1903",1
A906578,A941329,"WILLIAM, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALIFORNIA, 90201, 37957",1
A906578,A962563,"WILLIAM, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALIFORNIA, 90201, 25317183",1
A906578,B910286,"WILLIAM, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALI, 90201, 3231783057",1
A906578,B941853,"WILMA, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALIFORNIA, 90201, 3231783057",1
A906578,B991135,"WILLIAM, VILLARREAL, 7500, IRA, AVE, BELL, GARDENS, CALIFORNIA, 90201, 3231783057",1
A906634,A906634,"JO, N, BOSCH, 1800, SE, 18TH, TER, HOMESTEAD, FLORIDA, 33035, 206193626",1
A906634,A914623,"JOSEPHINE, N, BOSCH, 1800, SE, 18TH, ER, HOMESTEAD, FLA, 33035",1
A906634,A970868,"JO, N, BOSCH, 1800, SE, 18TH, TER, HOMESTEAD, FLORIDA, 33035, 26193626, 19700419",1
A906634,B961871,"JO, N, BOSCH, 1800, SE, 18TH, TERRACE, HOMESTEAD, FLORIDA, 33035, 3056323430",1
A906634,B972343,"JO, N, BOSCH, 1800, SE, 18TH, ERR, HOMESTEAD, FLORIDA, 33035, 3056323430",1
A906634,B974314,"JOSEPHINE, N, BOSCH, 1800, SE, 18TH, TER, HOMESTEAD, FLA, 33035, 3056323430",1
A906733,A906733,"ELIZABETH, E, J, 3825, LITTLE, ROCK, DRV, APT, 96, ANTELOPE, CALIFORNIA, 95843, 026808105",1
A906733,A917192,"ELIZABETH, E, MARTIN, 3825, LITTLE, ROCK, DR, APT, 96, ANTELOPE, CALIFORNIA, 95843, 38139",1
A906733,A920175,"LIZA, E, JENKINS, 3825, LITTLE, ROCK, DR, APT, 96, ANTELOPE, CALI, 95843, 026808105",1
A906816,A906816,"D, RUANO, 32, SLOWCUM, PATHS, PALM, COAST, FL, 32164, 24706276, 13830",1
A906816,A965887,"DENNIS, RUANO, 32, SLOCUM, PATHS, PALM, COAST, FL, 32164, 24706726, 1937",1
